location_type,family_income,financial_aid_status,distance_to_institute,internet_connectivity_issues,motivation_score,career_alignment,stress_levels,family_support,attendance_rate,test_scores_avg,backlogs,teaching_quality_rating,dropout
Semi-urban,5860.0,0,3.9,0,10,3,1,2,75.4,64.5,0,10,0
Semi-urban,9830.0,0,3.1,1,5,2,3,1,76.0,66.9,0,7,0
Urban,16813.0,0,7.9,2,5,1,3,2,73.7,51.5,0,7,0
Semi-urban,13762.0,2,0.9,1,3,2,3,1,39.1,81.1,0,8,1
Urban,17666.0,1,14.7,0,3,1,2,3,88.6,88.7,2,7,0
Semi-urban,50000.0,0,4.9,0,8,3,3,2,20.3,58.6,0,5,0
Rural,44303.0,2,2.8,1,8,3,3,2,81.8,67.6,0,6,0
Rural,4500.0,1,12.62,0,2,2,3,1,42.9,90.9,0,7,1
Semi-urban,17642.0,0,34.3,1,5,1,2,3,62.7,53.6,1,8,1
Semi-urban,5337.0,0,3.9,1,9,2,1,3,88.1,66.2,0,8,0
Rural,7237.0,1,4.15,0,5,3,2,2,63.1,76.4,0,6,0
Semi-urban,10781.0,1,3.0,2,5,1,3,3,63.6,45.9,1,6,1
Rural,5870.0,0,50.0,1,2,1,2,1,55.7,35.2,4,6,1
Semi-urban,2171.0,1,5.2,1,4,1,3,1,50.5,37.0,1,7,1
Urban,4772.0,0,1.6,2,7,2,3,2,70.7,42.3,0,3,1
Semi-urban,9263.0,2,14.7,2,2,2,3,3,51.3,83.2,0,10,1
Semi-urban,3408.0,0,14.2,1,8,2,2,3,66.7,61.5,7,10,1
Rural,5459.0,0,14.35,0,5,2,3,1,77.5,64.4,0,5,0
Urban,9943.0,0,8.3,1,6,2,1,2,11.2,44.5,0,7,1
Urban,7622.0,1,21.1,1,6,2,2,2,61.1,93.0,1,6,1
Semi-urban,9263.0,0,2.2,0,5,3,2,2,10.0,62.6,0,7,1
Urban,10181.0,0,2.2,0,9,2,2,2,69.5,75.1,0,8,0
Semi-urban,6519.0,1,27.4,1,2,1,3,3,41.4,57.1,1,3,1
Rural,2000.0,0,11.95,1,2,1,3,2,45.7,43.5,5,10,1
Semi-urban,9791.0,1,6.1,0,9,3,1,3,85.3,95.6,2,6,0
Urban,30670.0,2,6.9,0,2,2,3,3,55.9,83.2,0,8,0
Urban,11069.0,1,5.6,1,2,2,1,1,14.9,37.9,3,7,1
Rural,8233.0,0,7.48,0,5,2,1,2,53.3,35.9,1,6,0
Urban,32133.0,1,2.3,1,6,2,3,1,66.8,49.8,2,8,1
Rural,15562.0,0,4.0,0,9,2,2,2,84.5,93.3,3,9,0
Urban,33807.0,2,0.9,1,5,1,1,3,85.5,56.1,0,6,0
Urban,16387.0,1,6.2,1,2,3,3,1,51.2,75.7,6,6,1
Rural,6024.0,0,8.37,0,3,1,2,3,86.9,72.8,2,7,0
Semi-urban,12453.0,1,3.6,2,4,2,2,2,93.2,76.9,1,4,0
Rural,14871.0,0,5.32,2,5,2,2,1,96.7,74.6,0,8,0
Urban,11108.0,1,13.4,0,5,1,3,2,30.9,72.9,1,7,0
Urban,39175.0,1,13.2,0,6,3,3,1,77.4,83.2,0,7,0
Urban,5156.0,0,29.3,0,4,3,3,2,33.3,68.2,2,10,1
Semi-urban,11542.0,1,12.1,1,1,1,3,1,87.0,77.9,3,6,1
Semi-urban,4142.0,1,2.3,1,3,1,2,2,71.1,67.9,0,6,1
Urban,13648.0,2,30.6,1,6,1,2,2,51.8,38.3,5,4,1
Rural,5953.0,1,26.53,1,5,2,3,2,39.1,46.3,4,6,1
Urban,8234.0,1,16.2,2,4,2,3,1,70.7,75.9,0,5,1
Semi-urban,6695.0,1,2.4,0,4,1,1,2,27.3,65.1,7,5,1
Rural,8104.0,1,4.98,1,4,2,3,1,75.8,61.3,6,4,1
Semi-urban,12068.0,0,16.3,2,3,1,2,2,86.4,35.0,8,4,1
Rural,19034.0,0,2.8,0,6,3,1,2,81.2,35.0,0,6,0
Rural,6750.0,1,5.57,1,5,2,3,1,53.5,87.1,0,6,0
Urban,12596.0,0,15.5,1,7,2,1,3,70.7,35.0,1,2,0
Rural,5259.0,0,1.89,0,5,2,2,1,82.1,65.6,0,7,0
Rural,8127.0,0,34.56,2,6,1,2,3,57.9,51.2,3,10,1
Rural,4017.0,2,3.22,1,9,3,3,2,19.9,37.6,0,6,0
Semi-urban,3746.0,0,4.7,1,6,3,1,1,56.8,68.4,2,4,1
Semi-urban,12369.0,1,1.4,0,3,3,3,1,68.7,84.7,0,7,0
Urban,8886.0,1,2.0,0,5,3,3,1,54.4,53.5,4,5,1
Rural,21173.0,0,4.48,2,8,3,2,2,55.0,35.0,0,6,0
Urban,9959.0,1,3.5,1,6,2,3,2,44.3,70.9,1,10,0
Urban,37404.0,1,3.1,2,1,1,3,1,51.8,51.5,0,7,1
Semi-urban,7774.0,2,18.4,0,7,2,1,3,88.5,85.2,0,7,0
Semi-urban,33419.0,0,1.9,0,8,3,2,2,87.2,69.0,0,6,0
Urban,22341.0,0,1.8,0,9,2,2,2,95.2,88.4,0,5,0
Rural,11570.0,1,1.88,1,6,2,2,1,18.7,35.7,1,5,1
Rural,3099.0,1,10.92,1,8,3,1,2,81.2,94.8,0,7,0
Semi-urban,12697.0,1,11.1,2,4,2,2,1,71.7,54.7,1,6,0
Rural,2000.0,1,5.7,1,9,2,3,2,64.9,90.7,5,10,1
Semi-urban,8415.0,0,1.0,0,6,2,1,2,61.6,68.4,1,6,0
Semi-urban,37190.0,1,13.4,2,4,3,2,1,84.7,41.8,0,6,0
Urban,32439.0,0,7.0,0,4,1,1,2,68.6,46.4,8,6,1
Urban,9067.0,0,19.0,0,5,1,2,2,14.4,68.7,0,10,0
Semi-urban,7284.0,2,6.2,1,7,2,2,3,68.4,50.6,0,5,0
Urban,5386.0,2,0.5,2,9,2,2,3,23.7,60.2,3,9,0
Rural,35664.0,2,2.37,0,3,1,2,1,71.5,53.4,0,3,1
Rural,9926.0,1,5.04,1,7,2,1,3,94.3,50.2,0,5,0
Semi-urban,37181.0,1,0.8,1,5,2,3,2,51.2,50.3,1,3,0
Semi-urban,16261.0,2,3.5,1,6,2,1,3,28.3,84.0,2,7,0
Rural,3305.0,0,28.5,0,9,3,1,2,65.8,93.8,4,8,1
Rural,11828.0,0,2.95,1,2,2,3,2,71.6,55.6,1,7,1
Semi-urban,6646.0,1,3.2,0,4,3,3,1,66.1,49.7,0,5,0
Rural,2888.0,0,7.3,1,5,2,1,1,76.6,55.0,2,6,1
Semi-urban,13539.0,0,0.5,0,4,1,2,2,82.7,94.3,2,8,0
Semi-urban,21135.0,1,1.0,2,4,1,1,2,54.4,58.2,1,6,0
Rural,7887.0,0,10.37,2,3,2,2,2,44.7,50.1,1,8,1
Urban,50000.0,2,1.3,1,6,3,2,1,56.1,35.0,0,6,0
Semi-urban,10448.0,2,30.0,0,4,2,3,1,48.5,46.0,1,5,1
Rural,10011.0,1,8.61,2,6,2,1,3,93.2,85.8,8,3,1
Urban,24328.0,0,0.5,2,4,2,3,2,34.0,41.1,0,8,1
Semi-urban,8780.0,0,13.1,0,6,3,3,1,71.6,60.4,1,7,1
Semi-urban,19377.0,2,0.5,1,9,3,1,2,82.1,47.2,0,9,0
Urban,7651.0,0,2.5,0,6,3,3,2,41.9,73.6,1,3,1
Urban,6757.0,2,1.1,0,5,2,3,1,23.0,55.7,4,6,1
Rural,34258.0,2,4.36,0,8,2,2,3,71.4,73.2,0,9,0
Rural,6629.0,0,17.31,0,4,2,3,1,52.4,43.1,1,6,1
Rural,6356.0,1,24.03,1,7,2,2,2,85.7,94.7,3,6,0
Rural,3547.0,1,4.38,0,4,2,3,3,71.3,59.4,4,6,1
Rural,7338.0,2,7.16,2,5,1,1,2,39.4,35.0,1,4,1
Urban,7436.0,0,35.6,2,6,2,1,2,74.9,60.3,0,8,1
Rural,3833.0,2,3.81,0,2,2,3,1,64.1,82.3,0,7,0
Urban,8355.0,0,3.1,2,2,2,3,1,28.4,56.5,1,10,1
Urban,9124.0,0,9.5,2,4,1,2,1,76.4,92.1,0,8,0
Urban,7079.0,0,7.8,2,8,2,2,2,21.3,56.2,0,3,1
Semi-urban,4610.0,0,4.4,0,5,1,2,2,86.9,90.2,1,7,0
Urban,6413.0,0,2.6,1,5,1,2,2,65.1,44.6,0,8,0
Urban,23714.0,1,5.0,2,5,1,2,3,98.5,43.6,2,6,0
Rural,29152.0,0,12.95,1,9,3,2,3,91.6,97.8,1,10,0
Semi-urban,4675.0,1,2.3,0,7,2,2,3,68.0,64.5,1,3,0
Semi-urban,4492.0,0,29.1,0,3,1,1,2,24.4,54.2,0,8,1
Rural,6400.0,2,14.14,1,8,3,2,2,72.9,56.9,1,4,0
Rural,23170.0,1,0.89,0,7,1,1,3,46.3,46.4,0,10,0
Semi-urban,13371.0,1,1.2,2,9,3,2,2,81.2,64.8,1,6,0
Semi-urban,6177.0,0,3.8,2,4,2,3,1,71.9,67.6,5,10,1
Rural,23719.0,1,18.89,1,2,1,2,1,20.9,66.6,2,7,1
Semi-urban,5867.0,2,7.5,0,5,2,3,1,73.3,50.6,0,9,0
Semi-urban,8557.0,0,7.8,0,9,2,2,3,49.1,69.1,6,5,1
Semi-urban,9662.0,0,0.7,0,4,3,3,1,68.7,79.3,0,2,0
Rural,2000.0,0,3.94,1,4,1,1,2,60.8,55.6,0,7,1
Rural,3988.0,2,23.92,0,6,3,3,1,77.8,44.4,0,6,0
Urban,11520.0,2,6.9,1,10,3,1,3,10.9,50.4,1,6,0
Rural,3869.0,1,2.92,2,5,2,1,2,61.9,69.7,2,7,0
Semi-urban,2836.0,2,6.2,0,7,2,3,2,37.8,56.7,9,6,1
Rural,4030.0,1,2.46,2,4,1,3,1,74.4,86.4,0,6,1
Urban,49053.0,0,1.4,2,10,2,1,3,67.4,69.4,0,5,0
Rural,13114.0,1,0.9,1,6,2,3,2,18.1,57.9,3,8,1
Urban,6579.0,0,1.8,1,5,2,2,1,10.0,59.7,3,6,1
Urban,9345.0,1,0.5,1,9,2,1,2,16.7,44.0,1,8,0
Rural,7563.0,1,8.92,1,4,2,1,2,63.8,65.5,0,4,0
Urban,17963.0,1,0.5,0,6,3,3,2,46.3,65.1,8,6,1
Rural,3152.0,2,1.03,1,5,1,1,2,10.0,76.2,5,7,1
Urban,13171.0,2,0.5,1,10,3,3,3,51.9,75.3,1,4,0
Rural,26063.0,2,10.42,0,7,2,2,1,86.1,82.2,7,7,1
Semi-urban,2175.0,2,11.2,0,4,2,3,1,25.6,41.0,0,6,1
Urban,50000.0,0,4.1,1,6,2,1,2,39.0,55.3,0,10,0
Semi-urban,10947.0,0,4.3,1,9,3,2,3,28.9,74.8,2,7,0
Urban,13838.0,1,31.7,0,8,2,1,2,62.1,65.7,0,4,0
Urban,19659.0,2,4.1,0,3,2,1,1,44.0,64.0,2,5,0
Rural,5524.0,1,0.67,1,3,1,3,2,51.4,60.0,2,3,1
Rural,6684.0,2,6.6,2,5,2,2,2,71.6,40.2,0,7,0
Semi-urban,8820.0,0,2.3,0,3,3,3,2,33.8,84.1,0,9,1
Rural,4219.0,1,14.61,0,6,2,2,3,60.3,65.1,0,5,0
Rural,19542.0,2,9.37,0,9,2,3,2,38.4,65.7,2,6,0
Semi-urban,7509.0,0,5.3,1,7,2,1,3,57.6,61.2,1,5,0
Urban,12734.0,2,19.6,2,5,2,3,1,91.7,48.8,0,6,0
Urban,2923.0,2,0.8,0,8,2,1,3,49.0,76.5,1,8,0
Urban,7479.0,2,0.5,2,6,2,3,1,47.2,52.3,1,8,1
Urban,16670.0,2,6.8,2,3,1,1,3,88.5,68.8,0,7,0
Semi-urban,3680.0,0,4.5,0,7,3,1,2,73.0,80.2,0,10,0
Urban,7689.0,2,4.4,0,10,3,3,2,88.5,76.1,0,5,0
Urban,7734.0,1,0.7,1,7,2,2,2,70.1,70.5,0,7,0
Rural,7839.0,1,14.41,0,2,1,3,1,10.0,63.1,0,10,1
Urban,16163.0,0,4.7,2,2,1,2,2,63.6,69.8,0,8,1
Rural,2842.0,2,6.28,0,4,1,2,3,89.7,54.2,0,5,0
Semi-urban,9043.0,2,30.2,2,5,2,2,3,38.2,53.2,0,4,1
Urban,28283.0,2,9.3,1,6,2,2,2,81.5,69.0,9,7,1
Urban,43536.0,2,5.9,0,7,2,3,2,79.5,54.6,2,8,0
Urban,6874.0,1,5.3,1,3,1,2,2,60.6,79.2,4,6,1
Urban,9276.0,2,17.1,1,9,3,3,2,83.8,47.5,1,7,0
Rural,17854.0,0,5.47,0,6,2,3,1,60.4,60.1,0,4,0
Urban,7807.0,1,9.2,1,6,2,2,3,74.9,60.9,1,6,0
Urban,3952.0,0,4.4,1,7,2,3,1,91.1,72.5,1,7,0
Semi-urban,12443.0,1,2.0,1,3,2,3,1,25.9,37.9,9,5,1
Urban,9589.0,0,6.0,0,7,3,2,1,55.7,35.6,2,6,0
Urban,8625.0,2,13.1,2,5,2,3,2,27.9,39.2,1,3,1
Rural,5950.0,0,20.92,0,6,3,3,2,10.7,48.5,1,9,1
Urban,15345.0,0,1.2,0,5,2,3,1,84.5,66.2,0,6,0
Urban,31630.0,2,1.4,1,4,2,3,2,61.1,41.3,1,4,0
Semi-urban,3234.0,0,1.3,0,7,3,2,1,92.3,100.0,0,6,0
Semi-urban,17325.0,1,21.3,1,6,2,3,1,37.6,41.8,1,3,1
Urban,5366.0,1,2.9,1,8,3,2,2,77.9,35.0,1,3,0
Urban,5119.0,2,10.7,1,3,1,2,2,10.0,57.5,1,6,1
Semi-urban,4815.0,1,1.4,2,6,2,3,1,72.8,52.0,1,4,1
Rural,4849.0,2,13.97,1,6,1,1,3,55.8,66.1,1,7,0
Urban,50000.0,0,23.4,2,7,2,2,3,30.8,55.0,3,4,1
Semi-urban,6019.0,2,1.4,2,6,2,1,2,53.9,53.7,1,9,0
Rural,4589.0,0,8.47,2,9,2,1,2,78.1,59.1,2,8,0
Rural,8931.0,0,36.77,1,7,2,2,1,53.2,55.7,8,10,1
Urban,7701.0,2,28.2,2,3,2,3,1,19.8,50.1,3,8,1
Rural,20811.0,0,9.67,1,8,3,2,3,44.0,60.2,1,5,0
Urban,16364.0,0,23.8,1,6,3,3,3,54.1,56.9,2,8,1
Rural,4820.0,1,12.39,1,5,1,1,2,64.0,49.2,0,6,0
Rural,10104.0,1,32.86,0,10,3,1,3,37.0,58.8,1,7,0
Rural,10076.0,2,22.06,0,6,2,1,1,67.6,81.9,0,6,0
Rural,6617.0,0,5.93,0,10,2,1,3,76.0,48.8,0,4,0
Urban,12353.0,1,23.2,1,4,3,3,3,45.5,61.6,1,4,0
Semi-urban,4340.0,2,21.3,2,5,1,3,2,70.0,43.7,0,3,1
Urban,50000.0,1,1.0,2,5,2,2,2,10.1,41.9,4,9,1
Semi-urban,39131.0,0,11.5,2,6,2,1,3,72.5,64.6,6,6,1
Rural,3066.0,0,37.37,1,6,2,3,3,35.7,66.6,5,4,1
Rural,14451.0,2,26.52,0,4,1,1,3,74.7,52.6,0,6,0
Urban,12571.0,2,15.3,0,4,2,2,1,29.8,53.6,0,4,0
Urban,12262.0,2,0.6,1,5,2,3,2,40.2,49.7,3,7,1
Semi-urban,4284.0,0,14.3,0,7,3,2,2,59.2,60.2,1,7,0
Semi-urban,18305.0,1,1.2,1,8,2,2,2,66.2,40.2,0,10,0
Urban,9413.0,0,8.9,0,7,3,2,2,88.7,100.0,0,6,0
Semi-urban,12087.0,0,18.9,0,3,2,3,1,80.3,56.1,3,9,1
Rural,3620.0,0,19.14,1,10,3,2,3,33.4,68.4,0,8,0
Rural,14827.0,0,6.1,2,8,3,1,3,89.4,82.8,1,5,0
Semi-urban,8940.0,0,16.8,1,9,2,2,3,69.8,39.1,1,3,0
Urban,24948.0,0,1.0,0,7,2,3,3,19.8,62.2,7,7,1
Semi-urban,14523.0,2,1.4,0,5,2,3,2,71.4,86.1,2,8,0
Rural,8414.0,1,2.47,2,5,1,1,3,82.8,46.1,0,3,0
Urban,5034.0,0,3.4,2,6,3,3,1,93.2,58.7,0,7,0
Rural,5349.0,1,6.7,1,8,2,1,3,90.4,82.9,0,9,0
Rural,5715.0,1,7.24,2,5,2,1,1,75.3,35.0,0,7,0
Rural,8252.0,2,0.84,1,9,3,1,2,86.8,64.0,0,4,0
Semi-urban,10660.0,0,1.2,0,3,2,3,3,40.6,56.9,1,7,1
Semi-urban,15346.0,2,13.6,1,6,2,3,2,47.1,54.0,0,7,0
Urban,27598.0,0,5.8,2,3,1,2,3,62.2,56.1,0,7,0
Urban,17783.0,1,9.9,1,6,2,1,2,73.8,35.0,0,3,0
Semi-urban,19200.0,0,17.0,2,5,2,2,2,70.9,77.5,2,8,0
Semi-urban,2630.0,0,13.6,1,3,1,3,2,24.9,56.2,7,7,1
Semi-urban,4028.0,2,4.3,1,6,1,2,2,18.8,56.9,1,9,0
Rural,3464.0,0,26.41,0,3,1,3,3,38.9,63.2,0,8,1
Semi-urban,3767.0,1,29.0,1,4,1,1,1,26.0,82.4,3,7,1
Rural,4716.0,0,16.24,0,3,2,2,3,49.9,76.5,5,5,1
Rural,7618.0,0,2.5,1,9,2,2,3,80.6,42.2,0,7,0
Semi-urban,2177.0,2,4.7,1,8,2,3,2,10.0,35.0,1,6,0
Rural,2417.0,0,4.39,1,4,1,3,2,29.5,37.2,3,2,1
Urban,5016.0,0,6.0,2,6,1,1,2,93.6,39.5,0,9,0
Rural,5001.0,0,21.4,1,8,2,1,2,51.4,77.7,2,10,0
Semi-urban,5002.0,1,4.7,1,10,3,1,3,80.4,61.9,0,5,0
Rural,15727.0,1,13.24,0,10,3,1,2,81.3,43.9,1,7,0
Urban,20979.0,0,4.7,2,4,2,2,1,15.3,39.8,1,8,1
Urban,12575.0,1,21.9,1,9,3,1,3,76.4,59.1,1,9,0
Semi-urban,6011.0,1,4.6,0,6,2,2,2,87.5,38.4,0,7,0
Semi-urban,5099.0,2,2.0,1,7,2,1,2,93.9,74.5,0,7,0
Semi-urban,12709.0,1,32.4,0,4,2,3,2,59.2,66.8,1,4,0
Semi-urban,18466.0,0,3.7,2,4,1,1,2,55.9,60.3,2,5,1
Rural,7452.0,0,21.09,0,6,3,2,2,59.4,90.9,6,5,1
Urban,7695.0,0,8.5,1,10,3,2,2,77.0,83.0,1,10,0
Semi-urban,23115.0,2,15.7,0,5,2,1,3,84.7,74.6,0,4,0
Semi-urban,9365.0,0,15.3,0,10,3,2,2,89.5,85.1,6,10,1
Urban,10916.0,2,10.2,0,4,1,2,2,58.3,91.8,1,9,0
Urban,8202.0,0,2.6,1,5,3,2,1,84.8,77.7,6,8,1
Rural,8465.0,0,0.67,0,3,2,1,3,66.1,68.5,0,10,0
Rural,29732.0,0,4.49,0,9,2,3,2,59.1,35.0,1,7,1
Rural,23895.0,2,44.78,0,9,2,2,3,80.7,85.8,0,8,0
Rural,36942.0,0,2.02,1,7,3,2,1,10.0,43.1,9,7,1
Semi-urban,6150.0,1,12.3,1,6,2,2,1,65.9,71.8,1,5,0
Rural,4953.0,1,42.44,1,6,2,3,3,38.1,59.8,2,6,1
Urban,43883.0,0,6.1,0,5,2,2,1,44.3,59.4,1,3,1
Rural,13405.0,2,19.1,0,7,2,2,2,79.6,71.4,5,8,1
Urban,13629.0,1,3.1,2,4,2,2,2,10.0,56.8,2,5,1
Urban,9609.0,2,3.1,0,5,2,3,1,62.8,61.3,0,7,0
Urban,15736.0,1,16.2,0,7,2,3,2,75.0,79.6,1,9,0
Rural,23465.0,1,50.0,1,9,2,2,3,47.6,51.3,1,7,0
Urban,19220.0,2,1.8,1,9,2,2,3,61.8,35.0,0,4,0
Rural,3808.0,0,16.04,2,5,2,3,3,63.4,72.3,0,7,1
Semi-urban,6989.0,0,17.5,2,9,3,2,2,18.6,69.7,1,7,0
Rural,4586.0,0,50.0,0,4,3,3,1,12.3,57.9,2,8,1
Semi-urban,8180.0,0,15.9,1,10,3,2,3,52.6,35.0,7,7,1
Semi-urban,10214.0,2,16.6,0,3,3,3,1,26.5,57.7,1,7,1
Rural,18519.0,1,0.71,0,2,1,2,1,78.9,61.3,0,10,0
Semi-urban,50000.0,0,0.5,2,4,2,1,2,78.5,84.5,3,8,0
Rural,21300.0,0,12.07,0,2,1,2,3,61.2,56.4,2,9,1
Urban,11137.0,0,7.5,0,8,2,2,2,77.7,60.5,0,9,0
Semi-urban,13650.0,0,2.5,1,8,2,2,2,96.7,64.1,0,6,0
Urban,6932.0,2,17.2,1,6,3,3,1,97.7,81.8,0,3,0
Rural,7382.0,1,9.28,1,3,1,1,2,60.2,60.2,1,7,1
Semi-urban,33276.0,1,1.2,0,4,2,1,2,74.9,69.9,0,10,0
Semi-urban,3253.0,0,4.5,1,1,1,3,2,63.8,88.7,1,8,1
Rural,3869.0,1,21.32,0,7,2,2,3,80.7,100.0,0,7,0
Rural,5460.0,1,2.68,1,4,1,3,1,18.4,60.5,1,7,1
Semi-urban,7506.0,2,13.6,0,3,2,3,3,54.8,82.4,3,5,1
Urban,3715.0,2,2.7,0,3,1,2,2,37.5,65.2,1,7,1
Semi-urban,3096.0,0,2.7,0,2,1,3,1,56.2,74.1,1,9,1
Semi-urban,22636.0,0,2.4,1,7,2,2,2,58.8,47.7,0,4,0
Urban,31259.0,1,11.1,2,4,1,3,1,91.1,76.7,0,6,0
Rural,9132.0,0,35.95,1,5,2,3,1,12.6,35.0,4,6,1
Semi-urban,24625.0,2,3.0,0,4,2,3,2,51.7,61.1,0,7,0
Semi-urban,12015.0,0,1.5,0,3,1,3,1,62.6,79.9,8,8,1
Rural,5034.0,1,4.44,1,8,2,1,3,95.4,84.3,0,9,0
Semi-urban,3582.0,1,31.7,1,5,1,2,2,33.7,46.1,1,7,1
Rural,3692.0,1,11.97,0,2,3,3,1,47.7,43.1,8,6,1
Rural,4521.0,0,31.27,0,4,2,2,1,70.1,58.7,0,9,0
Urban,50000.0,1,1.6,1,7,2,2,1,78.6,70.7,0,6,0
Rural,7417.0,2,4.36,2,5,1,3,2,30.7,65.3,0,4,1
Rural,15214.0,0,12.59,0,4,1,3,3,68.8,97.4,0,7,0
Urban,15037.0,1,3.8,1,4,1,2,2,89.6,80.5,4,8,0
Urban,21707.0,0,4.7,2,4,1,1,2,47.9,68.8,6,5,1
Rural,27310.0,1,14.42,2,9,3,3,2,69.8,51.7,0,8,0
Rural,7537.0,2,2.97,1,7,2,1,3,91.0,65.7,0,5,0
Semi-urban,16818.0,0,1.0,0,5,3,1,2,67.8,79.6,4,8,0
Semi-urban,10329.0,0,0.5,0,5,1,2,2,63.0,39.9,1,5,1
Rural,6343.0,1,4.14,0,8,3,3,2,71.7,61.9,9,4,1
Semi-urban,3896.0,1,4.7,0,8,2,1,3,61.8,67.8,5,7,1
Semi-urban,12603.0,2,4.2,1,10,3,2,2,74.4,53.5,0,3,0
Semi-urban,18342.0,1,1.6,2,9,3,2,2,91.7,64.6,2,7,0
Urban,5531.0,2,18.6,0,4,1,1,2,57.5,70.8,0,7,0
Urban,47479.0,0,4.2,1,7,2,3,2,79.2,55.5,0,6,0
Urban,49198.0,0,3.5,2,6,3,3,3,57.2,67.2,0,6,0
Rural,4683.0,0,14.6,0,6,2,3,1,60.1,50.0,0,10,1
Urban,21191.0,2,3.7,1,5,1,1,2,86.6,98.6,0,10,0
Urban,43362.0,0,14.5,0,4,2,2,3,43.7,72.1,5,9,1
Semi-urban,19772.0,2,0.5,1,7,2,2,3,72.2,67.2,1,8,0
Urban,4697.0,0,3.5,0,4,2,3,1,93.8,44.0,0,4,1
Semi-urban,9190.0,1,1.7,0,8,2,2,2,82.2,56.5,1,5,0
Urban,11691.0,0,2.8,2,6,1,2,3,94.8,77.6,0,7,0
Rural,3617.0,0,21.46,1,4,1,2,1,61.2,92.6,0,8,1
Rural,5172.0,1,20.52,1,6,3,3,2,10.0,56.3,0,6,1
Rural,6677.0,1,24.86,0,5,1,1,3,53.6,59.1,3,5,1
Semi-urban,27125.0,1,0.8,1,5,3,2,2,68.0,51.2,1,2,0
Semi-urban,9994.0,2,1.5,0,9,2,2,2,66.7,47.9,4,6,0
Urban,9892.0,2,1.9,1,7,3,1,2,53.3,39.3,0,6,0
Urban,6222.0,2,16.3,0,4,2,1,1,62.9,75.0,2,7,0
Urban,28679.0,2,0.6,0,5,2,3,1,64.3,65.2,5,6,1
Rural,16632.0,1,1.91,1,2,2,3,2,14.4,45.9,1,5,1
Rural,5161.0,0,22.53,1,6,2,3,2,12.1,35.0,1,5,1
Semi-urban,5757.0,0,15.2,0,10,3,2,2,89.2,81.2,0,3,0
Rural,4734.0,0,2.66,1,6,2,2,2,67.8,71.6,6,10,1
Semi-urban,44926.0,2,3.5,2,2,2,2,1,72.1,35.8,0,4,1
Rural,5124.0,1,0.75,0,1,1,3,1,51.6,39.0,0,8,1
Rural,13904.0,0,0.85,2,8,3,1,2,53.3,58.7,1,8,0
Urban,47697.0,1,0.5,0,7,2,2,3,53.9,59.0,1,8,0
Rural,29498.0,2,0.66,2,5,1,3,2,24.2,38.0,1,7,1
Semi-urban,4899.0,1,17.7,1,7,3,3,2,71.1,64.3,0,8,0
Urban,19389.0,0,10.3,0,3,2,3,1,41.2,55.0,0,6,1
Semi-urban,24899.0,0,5.8,0,9,3,3,2,41.0,66.1,1,9,0
Urban,41718.0,0,3.2,1,9,2,2,3,73.7,78.2,0,8,0
Urban,16438.0,0,1.7,1,8,2,3,2,29.1,50.5,0,5,0
Rural,14241.0,2,13.74,0,4,1,3,1,66.0,63.1,0,7,0
Semi-urban,16282.0,1,7.0,2,2,1,2,1,46.4,42.9,3,7,1
Semi-urban,4520.0,2,0.8,2,3,2,3,3,38.6,46.0,1,7,1
Semi-urban,12569.0,1,6.5,1,6,2,2,3,85.7,68.7,2,3,0
Semi-urban,3001.0,2,4.7,1,6,2,2,3,80.8,50.5,0,5,0
Semi-urban,6601.0,1,7.8,1,5,2,3,3,27.7,46.8,0,5,1
Rural,8540.0,0,17.79,1,5,2,3,3,49.9,90.8,5,9,1
Rural,18915.0,0,6.66,1,6,1,1,2,70.2,58.6,0,9,0
Urban,21565.0,1,7.7,2,6,2,2,1,91.6,53.9,0,9,0
Semi-urban,7993.0,1,2.0,0,7,2,2,2,50.5,61.7,9,6,1
Urban,5905.0,1,3.7,0,5,1,3,2,94.9,100.0,0,8,0
Rural,16347.0,0,4.23,0,3,1,2,1,71.6,100.0,1,10,0
Rural,4400.0,0,0.71,1,6,2,3,2,70.4,70.7,1,8,1
Rural,7849.0,1,16.81,0,3,2,3,1,85.4,80.3,0,10,0
Semi-urban,11328.0,0,12.5,1,4,2,3,1,70.5,75.6,1,7,1
Semi-urban,12906.0,0,7.2,1,6,2,3,3,55.2,77.3,0,9,1
Semi-urban,7027.0,0,12.5,2,7,2,3,2,78.8,45.6,4,5,1
Rural,6687.0,0,7.27,0,10,3,2,3,73.6,85.1,2,8,0
Urban,8413.0,0,3.2,2,7,1,1,3,52.5,49.5,2,7,0
Urban,10850.0,1,3.2,1,6,3,1,3,94.1,80.8,0,7,0
Semi-urban,6093.0,1,5.2,1,7,2,3,1,17.1,52.1,0,10,0
Semi-urban,30234.0,1,2.2,0,5,2,2,3,93.1,75.3,2,7,0
Urban,7951.0,0,4.8,1,4,2,2,2,57.0,71.4,0,9,0
Rural,17940.0,1,28.51,1,8,2,1,2,26.9,52.7,0,6,0
Urban,5263.0,1,22.2,1,7,2,2,2,72.7,58.9,2,7,1
Urban,14035.0,0,12.4,0,5,2,3,1,80.9,49.3,0,6,0
Urban,33886.0,2,5.8,1,7,2,2,2,31.2,56.6,1,10,0
Semi-urban,10417.0,1,3.5,1,7,3,1,1,27.5,52.9,1,10,0
Urban,37960.0,1,25.8,2,6,2,1,2,69.1,69.2,1,10,0
